               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.032139,            0.039521,            0.016249,             0.88259,             0.63765,             0.74512,             0.55149,            0.024905,            0.014505,           0.0099907,            0.001585,            0.001585,            0.001585
                  87,            0.032087,            0.040133,            0.015703,             0.70334,             0.68325,             0.74686,             0.55582,            0.024874,            0.014441,             0.01005,            0.001486,            0.001486,            0.001486
                  88,             0.03184,            0.039009,            0.015199,             0.74309,             0.67526,             0.74848,             0.55972,            0.024894,            0.014329,           0.0098652,            0.001387,            0.001387,            0.001387
                  89,            0.031415,             0.03922,            0.015475,             0.75297,             0.66778,              0.7457,             0.55968,            0.024772,            0.014278,           0.0098693,            0.001288,            0.001288,            0.001288
                  90,            0.031862,             0.03964,             0.01499,             0.65545,             0.69985,             0.73258,             0.55802,             0.02473,            0.014257,           0.0099984,            0.001189,            0.001189,            0.001189
                  91,            0.031489,             0.03985,            0.014289,             0.65436,             0.70134,             0.72604,             0.55657,            0.024611,            0.014248,            0.010083,             0.00109,             0.00109,             0.00109
                  92,            0.031392,            0.039762,            0.014513,             0.84356,             0.64366,             0.73512,             0.56197,            0.024577,             0.01423,           0.0098589,            0.000991,            0.000991,            0.000991
                  93,            0.031162,            0.038857,             0.01453,             0.83013,             0.64823,             0.72544,             0.55805,            0.024542,            0.014209,           0.0096598,            0.000892,            0.000892,            0.000892
                  94,            0.031392,            0.039627,            0.014907,             0.87378,              0.6446,             0.73375,             0.56239,            0.024501,             0.01417,           0.0094052,            0.000793,            0.000793,            0.000793
                  95,            0.031199,            0.039342,            0.014108,             0.75663,             0.70828,             0.73326,             0.56076,            0.024451,            0.014176,           0.0095637,            0.000694,            0.000694,            0.000694
                  96,            0.030985,            0.038995,            0.014069,             0.68571,             0.71147,             0.74214,             0.56332,            0.024435,            0.014191,           0.0095389,            0.000595,            0.000595,            0.000595
                  97,            0.030776,            0.038401,            0.014106,             0.66811,             0.71783,             0.74052,              0.5629,            0.024414,            0.014182,           0.0096596,            0.000496,            0.000496,            0.000496
                  98,            0.030651,             0.03819,            0.014037,             0.77392,             0.69297,             0.73991,             0.56129,            0.024396,            0.014209,           0.0095991,            0.000397,            0.000397,            0.000397
                  99,            0.031058,            0.038956,            0.013566,             0.77945,             0.69052,             0.74289,             0.56258,            0.024396,            0.014229,           0.0096619,            0.000298,            0.000298,            0.000298
